Time,Euler_X,Euler_Y,Euler_Z,Angular_Vel_X,Angular_Vel_Y,Angular_Vel_Z,FR_Contact,FL_Contact,BR_Contact,BL_Contact
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,False,False,False,False
0.005,2.170921154486961e-05,0.002418057535891873,7.903884850507121e-06,0.004339928988555075,0.4836115243155575,0.0015755267875479564,False,False,False,False
0.01,-0.00474793898733425,0.004351053425841399,-4.8990298667075355e-05,-0.9539163824413998,0.38661804168237013,-0.008150189459539037,False,False,False,False
0.015,-0.004182121805506072,0.006393645080562804,-2.3709081992320522e-05,0.11317667241439044,0.408514206386536,0.004448290758028647,False,False,False,False
0.02,-0.0036580886006669796,0.008479880089985733,-3.827646997781219e-05,0.10481669339230464,0.41724374398196507,-0.0036928915369402677,False,False,False,False
0.025,-0.0031999082421956377,0.010601156253972182,-4.0570458444729905e-05,0.09164864401999431,0.42425161259842237,-0.0013330400218237357,False,False,False,False
0.03,-0.0009436633501093868,0.0109538166886423,0.0012346679031214165,0.4511806116847312,0.0708014510208047,0.2501843258496369,False,False,False,False
0.035,0.0010448497329913417,0.010561287618759683,0.0020466966811348974,0.3978078854496269,-0.07785321887453579,0.1581274758583069,False,False,False,False
0.04,0.001338859195269141,0.011406062428199994,0.002449105972091781,0.058418405348326485,0.16908670769545986,0.0798360049148618,False,False,False,False
0.045,0.0026882661560789244,0.011837406669786766,0.002852969951059478,0.2696335204346869,0.08698394929016466,0.07763636296687484,False,False,False,False
0.05,0.007741872641000897,0.013385996995094495,0.0029841231781752207,1.0097327912444187,0.312665685525762,0.01348400536527182,False,False,False,False
0.055,0.008698402532714191,0.01362215421494218,0.003289698637310534,0.1911394347119867,0.047831262265511376,0.058531755000638626,False,False,False,False
0.06,0.009775649827131987,0.01380141020757123,0.00361451556655659,0.21530416114566445,0.03659466479951201,0.06200927590277101,False,False,False,False
0.065,0.011714248262128999,0.014947398817383625,0.0018901329951008408,0.3870474085529864,0.230263830288987,-0.35044941655961315,False,False,False,False
0.07,0.012930147581447678,0.015869463346464142,0.0004124155792969551,0.2429385569580581,0.18469271155163047,-0.29929029785677425,False,False,False,False
0.075,0.017876524825571127,0.016800397249259243,0.00041448282725756923,0.9890664401463238,0.18659534561077445,-0.015745578724839115,False,False,False,False
0.08,0.022874584283894557,0.01634098085135113,0.0004594542594041241,0.9995147173831933,-0.0914463405400838,-0.00756923237413426,False,False,False,False
0.085,0.024186076583523227,0.017427900155740545,0.00026406360973249055,0.26218242794287605,0.21747869120787666,-0.043506673020768875,False,False,False,False
0.09,0.025681986764151368,0.018442693904880108,4.6203998602834536e-05,0.2991024419589062,0.20300511582288752,-0.04893754160277568,False,False,False,False
0.095,0.025827938157313934,0.01991611389606596,-0.0024367485801929127,0.0295371269116379,0.29464897916032,-0.49715024290938803,False,False,False,False
0.1,0.02777933898944472,0.020695433152648372,-0.004219056763604777,0.3907163099428243,0.15456441584636843,-0.36438590184626246,False,False,False,False
0.105,0.029671915728515786,0.021537670069106295,-0.006003282072373499,0.379287039089761,0.1665109394479971,-0.3648372792999986,False,False,False,False
0.11,0.03149335266911258,0.02241737219364958,-0.007774943164617954,0.3654028969484652,0.1734272339206868,-0.36233758721837644,False,False,False,False
0.115,0.03572964524119904,0.021434172325628078,-0.008320952374308532,0.8454449551715857,-0.2034502948393271,-0.1277769794894486,False,False,False,False
0.12,0.038969436150136275,0.02058728458808729,-0.008865267453583058,0.6463358171979766,-0.174937827134705,-0.12247598635009026,False,False,False,False
0.125,0.041355585362632334,0.02021685468194459,-0.009647430805890632,0.4764243444774175,-0.07849919817429893,-0.16616839556937155,False,False,False,False
0.13,0.04429503897775994,0.01993114348870547,-0.010416660237954272,0.5871694753443637,-0.0630357832244102,-0.16564629994197452,False,False,False,False
0.135,0.04565365651378554,0.019972403959596072,-0.013259801857852865,0.27174817109989335,0.005035506088260408,-0.574049242722701,False,False,False,False
0.14,0.04808148538128335,0.019038086157383918,-0.0154469883761959,0.4827414857606378,-0.19381221313253205,-0.4469075362684861,False,False,False,False
0.145,0.05362781475054848,0.020617461944083693,-0.01815664742451878,1.1141987905817672,0.2971967161774539,-0.563923142609821,False,False,False,False
0.15,0.058974800835263894,0.022394298660389413,-0.01972809707715519,1.075689469274531,0.335051755411675,-0.33728565819268225,False,False,False,False
0.155,0.06645048944767594,0.025179556420193365,-0.020782211837485243,1.5056910632244307,0.5266611057561321,-0.2463832248900093,False,False,False,False
0.16,0.07349867250299867,0.02637070012699612,-0.019576038828832205,1.4136885356028168,0.2097454054943645,0.20490403154914313,False,False,False,False
0.165,0.07828175526450432,0.02795439879833683,-0.01864136159848531,0.9621413252506787,0.29840946675753743,0.1609540988201846,False,False,False,False
0.17,0.08328031912414544,0.02955128553711446,-0.017722662443664203,1.0049411048969477,0.30115562343344543,0.1549987835504162,False,False,False,False
0.17500000000000002,0.08689625868058813,0.03181183500255305,-0.018982549729690327,0.7310229486087194,0.43876790297154966,-0.27416213275857787,False,False,False,False
0.18,0.09222783303511219,0.03348111464349344,-0.019578813242889178,1.0719853041988898,0.31324604049258753,-0.15405763509522186,False,False,False,False
0.185,0.10134965468961574,0.037607453086215194,-0.02041540364233189,1.8393506215912283,0.7886404436091736,-0.232148799970327,False,False,False,False
0.19,0.10872327798243557,0.041613286623315524,-0.020883205691308894,1.489797053509895,0.7705662832796676,-0.1519590156621318,False,False,False,False
0.195,0.11467153628465056,0.04436109775870551,-0.02151879393974743,1.199936316866965,0.5242404935349524,-0.17824124750917425,False,False,False,False
